servicio;servicio_padre;servicio_abrev_viz;tipo;valor
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Total Personas;81,9
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 16 a 24 años;92,2
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 25 a 34 años;91,1
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 35 a 44 años;88,6
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 45 a 54 años;84,4
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 55 a 64 años;70,1
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 65 a 74 años;54,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Total Personas;83,4
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 16 a 24 años;94
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 25 a 34 años;91,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 35 a 44 años;86,6
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 45 a 54 años;81
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 55 a 64 años;76,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 65 a 74 años;67,9
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Total Personas;69,4
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 16 a 24 años;93,3
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 25 a 34 años;86
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 35 a 44 años;74,6
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 45 a 54 años;64
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 55 a 64 años;53
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 65 a 74 años;40,2
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Total Personas;96
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 16 a 24 años;98,7
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 25 a 34 años;99,2
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 35 a 44 años;97
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 45 a 54 años;96,4
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 55 a 64 años;93,9
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 65 a 74 años;87,8
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Total Personas;84
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Edad: De 16 a 24 años;84
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Edad: De 25 a 34 años;93,1
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Edad: De 35 a 44 años;90,9
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Edad: De 45 a 54 años;84,6
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Edad: De 55 a 64 años;77,9
Actividades de información: Buscar información sobre bienes o servicios;Actividades de información;Buscar información sobre b/s;Edad: De 65 a 74 años;63,4
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Total Personas;81,5
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Edad: De 16 a 24 años;80,3
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Edad: De 25 a 34 años;89,2
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Edad: De 35 a 44 años;87
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Edad: De 45 a 54 años;81,3
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Edad: De 55 a 64 años;76,2
Actividades de información: Leer noticias, periódicos o revistas de actualidad on-line;Actividades de información;Leer noticias on-line;Edad: De 65 a 74 años;67,8
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Total Personas;73,2
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 16 a 24 años;94,5
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 25 a 34 años;92,2
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 35 a 44 años;81,2
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 45 a 54 años;68,5
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 55 a 64 años;54,9
Actividades de entretenimiento: Escuchar música (emitida por Internet o en streaming) o descargar música;Actividades de entretenimiento;Escuchar o descargar música;Edad: De 65 a 74 años;38,7
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Total Personas;50,2
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 16 a 24 años;69,8
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 25 a 34 años;62,2
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 35 a 44 años;54,1
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 45 a 54 años;46,9
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 55 a 64 años;35
Actividades de entretenimiento: Ver programas emitidos por Internet (en directo o en diferido) de canales de televisión;Actividades de entretenimiento;Ver programas de tv por Internet;Edad: De 65 a 74 años;30
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Total Personas;59,1
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 16 a 24 años;80,4
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 25 a 34 años;75,6
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 35 a 44 años;64,4
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 45 a 54 años;56
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 55 a 64 años;40,9
Actividades de entretenimiento: Ver películas o videos bajo demanda de empresas comerciales;Actividades de entretenimiento;Ver películas/vídeos bajo demanda;Edad: De 65 a 74 años;31
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Total Personas;75,9
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 16 a 24 años;91,4
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 25 a 34 años;90
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 35 a 44 años;83,8
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 45 a 54 años;72,9
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 55 a 64 años;60,5
Actividades de entretenimiento: Ver contenidos de video de sitios para compartir;Actividades de entretenimiento;Ver contenido compartido;Edad: De 65 a 74 años;48,8
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Total Personas;39,7
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 16 a 24 años;70,5
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 25 a 34 años;57,1
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 35 a 44 años;40,2
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 45 a 54 años;31,4
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 55 a 64 años;21,3
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 65 a 74 años;20,3
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Total Personas;72
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 16 a 24 años;68
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 25 a 34 años;77,8
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 35 a 44 años;82,5
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 45 a 54 años;73,1
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 55 a 64 años;62
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 65 a 74 años;59,6
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Total Personas;43,2
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 16 a 24 años;29,5
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 25 a 34 años;46,9
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 35 a 44 años;51,7
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 45 a 54 años;46,4
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 55 a 64 años;41,5
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 65 a 74 años;32,8
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Total Personas;18,9
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Edad: De 16 a 24 años;14,3
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Edad: De 25 a 34 años;20,8
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Edad: De 35 a 44 años;23,6
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Edad: De 45 a 54 años;20,1
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Edad: De 55 a 64 años;16,8
Actividades relacionadas con la salud: Acceder a archivos personales de salud;Actividades relacionadas con la salud;Acceder a archivos personales de salud;Edad: De 65 a 74 años;12,5
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Total Personas;22
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Edad: De 16 a 24 años;18
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Edad: De 25 a 34 años;23,2
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Edad: De 35 a 44 años;24,9
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Edad: De 45 a 54 años;24,7
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Edad: De 55 a 64 años;20,1
Actividades relacionadas con la salud: Acceder a otros servicios de salud on line en lugar de ir al hospital;Actividades relacionadas con la salud;Acceder a inf. de salud en vez de ir al hospital;Edad: De 65 a 74 años;16,1
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Total Personas;28,3
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Edad: De 16 a 24 años;49,2
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Edad: De 25 a 34 años;40,5
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Edad: De 35 a 44 años;30,3
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Edad: De 45 a 54 años;25,3
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Edad: De 55 a 64 años;15,1
Actividades de aprendizaje: Realizar algún curso on line (o parcialmente on line);Actividades de aprendizaje;Curso on-line;Edad: De 65 a 74 años;6,6
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Total Personas;37,7
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Edad: De 16 a 24 años;64,3
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Edad: De 25 a 34 años;48,2
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Edad: De 35 a 44 años;40,8
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Edad: De 45 a 54 años;34,2
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Edad: De 55 a 64 años;22,5
Actividades de aprendizaje: Utilizar material de aprendizaje on line que no sea un curso completo on line;Actividades de aprendizaje;Utilizar materal de curso on-line;Edad: De 65 a 74 años;12,6
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Total Personas;31,9
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Edad: De 16 a 24 años;70
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Edad: De 25 a 34 años;38,5
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Edad: De 35 a 44 años;36,6
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Edad: De 45 a 54 años;26,1
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Edad: De 55 a 64 años;13,4
Actividades de aprendizaje: Comunicarse con monitores o alumnos utilizando portales o sitios web educativos;Actividades de aprendizaje;Comunicarse a través de webs educativas;Edad: De 65 a 74 años;5,7
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Total Personas;15
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Edad: De 16 a 24 años;13,6
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Edad: De 25 a 34 años;20,3
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Edad: De 35 a 44 años;19,2
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Edad: De 45 a 54 años;15,7
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Edad: De 55 a 64 años;10,1
Otras actividades: Vender bienes o servicios;Otras actividades;Vender bienes o servicios;Edad: De 65 a 74 años;6
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Total Personas;66,6
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Edad: De 16 a 24 años;53,3
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Edad: De 25 a 34 años;78,9
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Edad: De 35 a 44 años;75,5
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Edad: De 45 a 54 años;70,7
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Edad: De 55 a 64 años;60,4
Otras actividades: Utilizar Banca electrónica;Otras actividades;Utilizar banca electrónica;Edad: De 65 a 74 años;46,9
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Total Personas;40,7
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Edad: De 16 a 24 años;65,5
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Edad: De 25 a 34 años;60,2
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Edad: De 35 a 44 años;41,9
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Edad: De 45 a 54 años;31,9
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Edad: De 55 a 64 años;25
Otras actividades: Colgar contenidos propios (texto, fotos, música, videos, software, etc.) en una página web para ser compartidos;Otras actividades;Colgar contenidos;Edad: De 65 a 74 años;21,1
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Total Personas;46,1
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Edad: De 16 a 24 años;72,5
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Edad: De 25 a 34 años;60,9
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Edad: De 35 a 44 años;50,1
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Edad: De 45 a 54 años;40,2
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Edad: De 55 a 64 años;29,2
Otras actividades: Utilizar un espacio de almacenamiento en Internet;Otras actividades;Almacenar contenido en Internet;Edad: De 65 a 74 años;21
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Total Personas;3,6
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Edad: De 16 a 24 años;4
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Edad: De 25 a 34 años;5,5
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Edad: De 35 a 44 años;5,6
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Edad: De 45 a 54 años;2,6
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Edad: De 55 a 64 años;1,7
Otras actividades: Realizar apuestas on line por dispositivos móviles o fijos en salones de juego o similar;Otras actividades;Realizar apuestas on-line;Edad: De 65 a 74 años;1,2
